"fdc_id","description","Calories","Carbohydrate","Protein","Fats","Sugars","sugar_was_estimated"
167576,"Ice creams, vanilla, light, soft-serve",527,21.8,4.9,2.6,18.69,FALSE
167577,"Sherbet, orange",144,30.4,1.1,2,24.32,FALSE
167578,"Candies, fudge, peanut butter, prepared-from-recipe",387,77.75,3.78,6.59,73.36,FALSE
167579,"Candies, fudge, vanilla, prepared-from-recipe",1602,82.15,1.05,5.45,79.77,FALSE
167580,"Candies, fudge, vanilla with nuts",435,74.61,3,13.69,71,FALSE
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",2142,53,9.7,34,43,FALSE
167582,"Candies, NESTLE, BABY RUTH Bar",1988,64.8,5.4,21.6,54,FALSE
167583,"Candies, TWIZZLERS Strawberry Twists Candy",348,79.16,2.56,2.32,39.64,FALSE
167584,"Syrups, table blends, pancake, with butter",1216,72.43,0,0.09,72.25,FALSE
167585,"Ice creams, chocolate, light",187,25.7,5,7.19,24.71,FALSE
167586,"Candies, NESTLE, CHUNKY Bar",2172,60.4,7.5,27.5,52.5,FALSE
167587,"Candies, milk chocolate",535,59.4,7.65,29.66,51.5,FALSE
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",105,19.74,2.76,1.7,7.9,TRUE
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",422,18.43,2.9,1.73,7.37,TRUE
167590,"Andrea's, Gluten Free Soft Dinner Roll",257,40.24,5.65,8.2,2.98,FALSE
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",456,67.18,10.91,15.92,0.8,FALSE
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",1983,76.03,2.19,17.89,49,FALSE
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",2039,77.34,2.19,18.79,49.43,FALSE
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",1953,65.81,9.42,18.42,1.03,FALSE
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",459,64.7,11.16,17.29,0.83,FALSE
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",1964,65.11,9.67,18.93,0.86,FALSE
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",1339,52.83,3.13,10.7,8.36,FALSE
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",298,51.15,5.4,8.02,11.3,FALSE
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",309,49.09,7.25,9.34,9.81,FALSE
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",329,44.29,11.8,11.6,4.2,FALSE
167601,"Van's, Gluten Free, Totally Original Pancakes",215,40.32,3.31,4.55,4.06,FALSE
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",259,46.24,15.34,1.39,9.25,TRUE
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",31,5.62,1.86,0.17,4.22,TRUE
167604,"Potatoes, hash brown, refrigerated, unprepared",84,19.16,1.75,0.08,0.91,FALSE
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",242,33.99,3.24,10.3,1.16,FALSE
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",762,35.58,2.16,8.92,12.9,FALSE
167607,"Moose, meat, raw (Alaska Native)",430,0,22.3,1.5,0,FALSE
167608,"Mashu roots, raw (Alaska Native)",135,22.6,5.8,2.4,9.04,TRUE
167609,"Moose, liver, braised (Alaska Native)",155,3.43,24.38,4.89,2.57,TRUE
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",462,0,26.7,0.4,0,FALSE
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",3760,0,0.56,99.6,0,FALSE
167612,"Oopah (tunicate), whole animal (Alaska Native)",67,0,11.7,2.2,0,FALSE
167613,"Owl, horned, flesh, raw (Alaska Native)",568,0,22.7,5,0,FALSE
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",627,0,23.2,5.9,0,FALSE
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",430,0,39.9,30,0,FALSE
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",156,4.3,16.6,8,3.22,TRUE
167617,"Duck, scoter, white-winged, meat (Alaska Native)",84,0,20.2,0.4,0,FALSE
167618,"Sea cucumber, yane (Alaska Native)",233,0,13,0.4,0,FALSE
167619,"Squirrel, ground, meat (Alaska Native)",111,0,19.3,3.8,0,FALSE
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",1,0.2,0,0,0.2,TRUE
167621,"Walrus, meat, dried (Alaska Native)",251,0,57,2.6,0,FALSE
167622,"Deer (venison), sitka, raw (Alaska Native)",484,0,21.5,2.66,0,FALSE
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",870,0,0.4,96.5,0,FALSE
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",465,0,12.6,46.1,0,FALSE
167625,"Oil, whale, bowhead (Alaska Native)",900,0,0,100,0,FALSE
167626,"Fish, whitefish, broad, liver (Alaska Native)",104,5.1,11,4.4,3.82,TRUE
167627,"Mush, blue corn with ash (Navajo)",226,11.74,0.66,0.49,0.19,FALSE
167628,"Cornmeal, blue (Navajo)",1666,76.93,10.4,5.44,1.81,FALSE
167629,"Melon, banana (Navajo)",21,4.06,0.84,0.2,3.36,FALSE
167630,"Chilchen (Red Berry Beverage) (Navajo)",44,8.68,0.81,0.63,2.6,FALSE
167631,"Corn, dried (Navajo)",1616,74.93,9.88,5.22,5.38,FALSE
167632,"Squash, Indian, cooked, boiled (Navajo)",16,3.22,0.31,0.15,2.02,FALSE
167633,"Bread, kneel down (Navajo)",816,39.47,4.29,2.21,3.74,FALSE
167634,"Mutton, cooked, roasted (Navajo)",234,0.08,33.43,11.09,0.08,TRUE
167635,"Frybread, made with lard (Navajo)",1380,48.26,6.69,12.22,2.03,FALSE
167636,"Tamales (Navajo)",153,18.12,6.28,6.12,0.99,FALSE
167637,"Stew, steamed corn (Navajo)",112,10.8,8.82,3.75,0.51,FALSE
167638,"Fish, halibut, raw, with skin (Alaska Native)",484,1.81,20.53,2.92,1.81,TRUE
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",140,0,22.56,5.57,0,FALSE
167640,"Blueberries, wild, raw (Alaska Native)",255,12.31,1.22,0.76,6.46,FALSE
167641,"Oil, spotted seal (Alaska Native)",3740,0,0,99.32,0,FALSE
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",161,0,27.31,5.76,0,FALSE
167643,"Fish, whitefish, eggs (Alaska Native)",436,4.89,14.66,2.88,3.67,TRUE
167644,"Caribou, rump meat, half dried (Alaska Native)",255,0,52.06,5.23,0,FALSE
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",862,0,35.19,7.26,0,FALSE
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",141,0,24.5,4.75,0,FALSE
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",209,0,23.19,12.95,0,FALSE
167648,"Fish, sheefish, raw (Alaska Native)",479,0,22.25,2.84,0,FALSE
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",408,0,21.44,1.3,0,FALSE
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",1131,0,62.38,2.31,0,FALSE
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",612,0,32.51,1.8,0,FALSE
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",409,0,19.74,2.1,0,FALSE
167653,"Corn, dried, yellow (Northern Plains Indians)",419,66.27,14.48,10.64,21.32,FALSE
167654,"Smelt, dried (Alaska Native)",1614,0,56.19,17.9,0,FALSE
167655,"Frybread, made with lard (Apache)",1292,46.01,8.38,10.14,1.54,FALSE
167656,"Corned beef and potatoes in tortilla (Apache)",224,29.35,7.91,8.31,1.79,FALSE
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",959,19.28,13.19,11.05,1.84,FALSE
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",219,17.92,12.56,10.81,2.39,FALSE
167659,"Restaurant, Latino, chicken and rice, entree, prepared",727,20.03,12.02,5.06,0.55,FALSE
167660,"Restaurant, Latino, empanadas, beef, prepared",335,31.19,11.31,18.37,1.84,FALSE
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229,31.49,5.59,9.01,1.3,FALSE
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",1070,22.39,11.72,13.25,1.2,FALSE
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",971,23.02,11.51,10.43,1.45,FALSE
167664,"Restaurant, Latino, tamale, corn",776,26.68,3.48,7.21,7.42,FALSE
167665,"Restaurant, Mexican, spanish rice",776,31.16,3.28,5.29,1.3,FALSE
167666,"Restaurant, Mexican, refried beans",156,16.79,6.91,6.77,0.78,FALSE
