"fdc_id","description","Calories","Carbohydrate","Protein","Fats","Sugars","sugar_was_estimated"
168462,"Spinach, raw",97,3.63,2.86,0.39,0.42,FALSE
168463,"Spinach, cooked, boiled, drained, without salt",23,3.75,2.97,0.26,0.43,FALSE
168464,"Squash, summer, crookneck and straightneck, raw",78,3.88,1.01,0.27,2.88,FALSE
168465,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",19,3.79,1.04,0.39,2.48,FALSE
168466,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",54,2.96,0.61,0.07,1.19,FALSE
168467,"Squash, summer, crookneck and straightneck, frozen, unprepared",20,4.8,0.83,0.14,3.6,TRUE
168468,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",105,5.54,1.28,0.2,2.33,FALSE
168469,"Squash, summer, zucchini, includes skin, frozen, unprepared",70,3.58,1.16,0.13,1.71,FALSE
168470,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",17,3.56,1.15,0.13,1.69,FALSE
168471,"Squash, summer, zucchini, italian style, canned",29,6.85,1.03,0.11,5.14,TRUE
168472,"Squash, winter, acorn, raw",167,10.42,0.8,0.1,4.17,TRUE
168473,"Squash, winter, butternut, frozen, unprepared",57,14.41,1.76,0.1,2.83,FALSE
168474,"Squash, winter, butternut, frozen, cooked, boiled, without salt",39,10.05,1.23,0.07,4.02,TRUE
168475,"Squash, winter, hubbard, raw",40,8.7,2,0.5,3.95,FALSE
168476,"Squash, winter, hubbard, baked, without salt",50,10.81,2.48,0.62,4.9,FALSE
168477,"Succotash, (corn and limas), cooked, boiled, drained, without salt",481,24.38,5.07,0.8,9.75,TRUE
168478,"Succotash, (corn and limas), canned, with cream style corn",322,17.61,2.64,0.54,7.04,TRUE
168479,"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",264,13.98,2.6,0.49,5.59,TRUE
168480,"Succotash, (corn and limas), frozen, unprepared",93,19.94,4.31,0.89,7.98,TRUE
168481,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",389,19.95,4.31,0.89,2.21,FALSE
168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",86,20.12,1.57,0.05,4.18,FALSE
168483,"Sweet potato, cooked, baked in skin, flesh, without salt",90,20.71,2.01,0.15,6.48,FALSE
168484,"Sweet potato, cooked, boiled, without skin",76,17.72,1.37,0.14,5.74,FALSE
168485,"Sweet potato, canned, vacuum pack",91,21.12,1.65,0.2,5,FALSE
168486,"Taro, cooked, without salt",142,34.6,0.52,0.11,0.49,FALSE
168487,"Taro leaves, raw",42,6.7,4.98,0.74,3.01,FALSE
168488,"Taro leaves, cooked, steamed, without salt",100,4.02,2.72,0.41,3.01,TRUE
168489,"Taro shoots, raw",11,2.32,0.92,0.09,1.74,TRUE
168490,"Arrowroot, raw",271,13.39,4.24,0.2,5.36,TRUE
168491,"Chrysanthemum leaves, raw",100,3.01,3.36,0.56,2.26,TRUE
168492,"Amaranth leaves, cooked, boiled, drained, with salt",88,4.11,2.11,0.18,3.08,TRUE
168493,"Arrowhead, cooked, boiled, drained, with salt",78,16.14,4.49,0.1,6.46,TRUE
168494,"Asparagus, frozen, cooked, boiled, drained, with salt",18,1.92,2.95,0.42,0.32,FALSE
168495,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",136,6.16,3.6,0.2,1.04,FALSE
168496,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",19,4.32,0.84,0.18,1.95,FALSE
168497,"Bamboo shoots, cooked, boiled, drained, with salt",46,1.52,1.53,0.22,1.52,TRUE
168498,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",103,19.32,6.07,0.34,1.34,FALSE
168499,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",19,3.6,2.03,0.09,2.84,FALSE
168500,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",325,15.01,7.07,0.81,6,TRUE
168501,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",678,30.87,9.31,0.48,6.17,TRUE
168502,"Beans, snap, green, canned, no salt added, solids and liquids",64,3.5,0.8,0.1,2.62,TRUE
168503,"Beans, snap, yellow, canned, regular pack, solids and liquids",15,3.5,0.8,0.1,0.62,FALSE
168504,"Beans, snap, yellow, canned, no salt added, solids and liquids",15,3.5,0.8,0.1,0.62,FALSE
168505,"Beans, snap, green, canned, no salt added, drained solids",22,4.32,1.12,0.46,0.78,FALSE
168506,"Beets, cooked, boiled. drained, with salt",44,9.96,1.68,0.18,7.96,FALSE
168507,"Beets, canned, no salt added, solids and liquids",117,6.57,0.8,0.07,5.38,FALSE
168508,"Beet greens, cooked, boiled, drained, with salt",113,5.46,2.57,0.2,0.6,FALSE
168509,"Borage, cooked, boiled, drained, with salt",25,3.55,2.09,0.81,2.66,TRUE
168510,"Broccoli, cooked, boiled, drained, with salt",146,7.18,2.38,0.41,1.39,FALSE
168511,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",28,5.35,3.1,0.12,1.47,FALSE
168512,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",28,5.35,3.1,0.11,1.44,FALSE
168513,"Brussels sprouts, cooked, boiled, drained, with salt",36,7.1,2.55,0.5,1.74,FALSE
168514,"Cabbage, common, cooked, boiled, drained, with salt",97,5.51,1.27,0.06,2.79,FALSE
168515,"Cabbage, red, cooked, boiled, drained, with salt",122,6.94,1.51,0.09,3.32,FALSE
168516,"Cabbage, savoy, cooked, boiled, drained, with salt",100,5.41,1.8,0.09,4.06,TRUE
168517,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",12,1.78,1.56,0.16,0.83,FALSE
168518,"Carrots, canned, no salt added, drained solids",105,5.54,0.64,0.19,2.48,FALSE
168519,"Carrots, frozen, cooked, boiled, drained, with salt",155,7.73,0.58,0.68,4.08,FALSE
168520,"Cauliflower, cooked, boiled, drained, with salt",96,4.11,1.84,0.45,1.86,FALSE
168521,"Cauliflower, frozen, cooked, boiled, drained, with salt",71,3.16,1.61,0.22,0.46,FALSE
168522,"Chrysanthemum, garland, cooked, boiled, drained, with salt",20,4.31,1.64,0.09,2.01,FALSE
168523,"Collards, cooked, boiled, drained, with salt",137,5.65,2.71,0.72,4.24,TRUE
168524,"Collards, frozen, chopped, cooked, boiled, drained, with salt",151,7.1,2.97,0.41,0.57,FALSE
168525,"Corn, sweet, yellow, cooked, boiled, drained, with salt",96,20.98,3.41,1.5,4.54,FALSE
168526,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",94,19.73,3.17,0.38,3.23,FALSE
168527,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",547,23.5,8.49,0.66,4.46,FALSE
168528,"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",34,7,2.6,0.3,5.25,TRUE
168529,"Cowpeas, leafy tips, cooked, boiled, drained, with salt",92,2.8,4.67,0.1,2.1,TRUE
168530,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",54,13.75,0.66,0.34,5.17,FALSE
168531,"Drumstick leaves, cooked, boiled, drained, with salt",251,11.15,5.27,0.93,1,FALSE
168532,"Drumstick pods, cooked, boiled, drained, with salt",36,8.18,2.09,0.19,6.14,TRUE
168533,"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",50,9.2,2.95,0.27,6.9,TRUE
168534,"Lambsquarters, cooked, boiled, drained, with salt",32,5,3.2,0.7,0.62,FALSE
168535,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",130,7.62,0.81,0.2,2.11,FALSE
168536,"Lotus root, cooked, boiled, drained, with salt",278,16.02,1.58,0.07,6.41,TRUE
168537,"Mushrooms, white, cooked, boiled, drained, with salt",117,5.29,2.17,0.47,2.34,FALSE
168538,"Corn, sweet, white, raw",86,19.02,3.22,1.18,3.22,FALSE
168539,"Corn, sweet, white, cooked, boiled, drained, without salt",408,21.71,3.34,1.41,7.73,FALSE
168540,"Corn, sweet, white, cooked, boiled, drained, with salt",408,21.71,3.34,1.41,7.73,FALSE
168541,"Corn, sweet, white, canned, whole kernel, regular pack, solids and liquids",268,15.41,1.95,0.5,6.16,TRUE
168542,"Corn, sweet, white, canned, vacuum pack, regular pack",332,19.44,2.41,0.5,7.78,TRUE
168543,"Corn, sweet, white, canned, vacuum pack, no salt added",79,19.44,2.41,0.5,7.78,TRUE
168544,"Corn, sweet, white, frozen, kernels cut off cob, unprepared",88,20.73,3.02,0.77,9.09,FALSE
168545,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",335,19.56,2.75,0.43,3.12,FALSE
168546,"Peppers, sweet, red, canned, solids and liquids",18,3.9,0.8,0.3,2.92,TRUE
168547,"Peppers, sweet, red, frozen, chopped, unprepared",84,4.45,1.08,0.21,3.26,FALSE
168548,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",16,3.31,0.95,0.18,2.86,FALSE
168549,"Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",65,3.31,0.95,0.18,2.86,FALSE
168550,"Peppers, sweet, red, sauteed",555,6.57,1.04,12.75,4.28,FALSE
168551,"Lentils, sprouted, cooked, stir-fried, with salt",101,21.25,8.8,0.45,8.5,TRUE
168552,"Mountain yam, hawaii, cooked, steamed, with salt",82,19.99,1.73,0.08,8,TRUE
168553,"Tree fern, cooked, with salt",40,10.78,0.29,0.07,4.31,TRUE
168554,"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",108,14.4,2.05,4.93,5.76,TRUE
168555,"Potatoes, mashed, home-prepared, whole milk and butter added",113,16.81,1.86,4.22,1.43,FALSE
168556,"Catsup",101,27.4,1.04,0.1,21.27,FALSE
168557,"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",22,4.3,2.5,0.1,1.72,FALSE
168558,"Pickles, cucumber, dill or kosher dill",12,2.41,0.5,0.3,1.07,FALSE
168559,"Pimento, canned",23,5.1,1.1,0.3,2.71,FALSE
168560,"Pickle relish, hot dog",91,23.35,1.5,0.46,9.34,TRUE
168561,"Pickle relish, sweet",544,35.06,0.37,0.47,29.13,FALSE
168562,"Pickles, cucumber, sour, low sodium",11,2.26,0.33,0.2,1.06,FALSE
168563,"Pickles, cucumber, dill, reduced sodium",12,2.41,0.5,0.3,1.07,FALSE
168564,"Radicchio, raw",23,4.48,1.43,0.25,0.6,FALSE
168565,"Squash, zucchini, baby, raw",21,3.11,2.71,0.4,2.33,TRUE
168566,"Tomatillos, raw",133,5.84,0.96,1.02,3.93,FALSE
168567,"Tomatoes, sun-dried",258,55.76,14.11,2.97,37.59,FALSE
168568,"Carrots, baby, raw",35,8.24,0.64,0.13,4.76,FALSE
168569,"Hearts of palm, canned",117,4.62,2.52,0.62,3.46,TRUE
168570,"Peppers, hot chile, sun-dried",1356,69.86,10.58,5.81,41.06,FALSE
168571,"Nopales, raw",66,3.33,1.32,0.09,1.15,FALSE
168572,"Cabbage, napa, cooked",12,2.23,1.1,0.17,1.67,TRUE
168573,"Lemon grass (citronella), raw",414,25.31,1.82,0.49,10.12,TRUE
168574,"Beans, fava, in pod, raw",368,17.63,7.92,0.73,9.21,FALSE
168575,"Grape leaves, raw",390,17.31,5.6,2.12,6.3,FALSE
168576,"Peppers, jalapeno, raw",29,6.5,0.91,0.37,4.12,FALSE
168577,"Peppers, chili, green, canned",88,4.6,0.72,0.27,3.45,TRUE
168578,"Peppers, hungarian, raw",29,6.7,0.8,0.41,3.53,FALSE
168579,"Peppers, pasilla, dried",345,51.13,12.35,15.85,10.23,TRUE
168580,"Mushrooms, oyster, raw",139,6.09,3.31,0.41,1.11,FALSE
168581,"Fungi, Cloud ears, dried",284,73.01,9.25,0.73,14.6,TRUE
168582,"Mushrooms, straw, canned, drained solids",133,4.64,3.83,0.68,3.48,TRUE
168583,"Wasabi, root, raw",109,23.54,4.8,0.63,9.42,TRUE
168584,"Fiddlehead ferns, frozen, unprepared",142,5.74,4.31,0.35,4.3,TRUE
168585,"Nuts, coconut meat, dried (desiccated), creamed",684,21.52,5.3,69.08,8.61,TRUE
168586,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",2096,47.67,2.88,35.49,43.17,FALSE
168587,"Seeds, sisymbrium sp. seeds, whole, dried",1331,58.26,12.14,4.6,11.65,TRUE
168588,"Nuts, almond butter, plain, without salt added",614,18.82,20.96,55.5,4.43,FALSE
168589,"Nuts, chestnuts, japanese, boiled and steamed",234,12.64,0.82,0.19,5.06,TRUE
168590,"Nuts, chestnuts, japanese, roasted",841,45.13,2.97,0.8,9.03,TRUE
168591,"Seeds, lotus seeds, raw",89,17.28,4.13,0.53,6.91,TRUE
168592,"Nuts, almonds, honey roasted, unblanched",2485,27.9,18.17,49.9,11.16,TRUE
168593,"Seeds, sunflower seed kernels, oil roasted, with salt added",592,22.89,20.06,51.3,3.11,FALSE
168594,"Seeds, sunflower seed kernels, toasted, with salt added",619,20.59,17.21,56.8,8.24,TRUE
168595,"Seeds, sunflower seed butter, with salt added (Includes foods for USDA's Food Distribution Program)",617,23.32,17.28,55.2,10.54,FALSE
168596,"Nuts, almonds, dry roasted, with salt added",2502,21.01,20.96,52.54,4.86,FALSE
168597,"Nuts, cashew butter, plain, with salt added",609,30.3,12.12,53.03,9.09,FALSE
168598,"Nuts, macadamia nuts, dry roasted, with salt added",2996,12.83,7.79,76.08,4.14,FALSE
168599,"Nuts, mixed nuts, dry roasted, with peanuts, with salt added",2485,25.35,17.3,51.45,4.8,FALSE
168600,"Nuts, mixed nuts, oil roasted, with peanuts, with salt added",607,21.05,20.04,53.95,4.15,FALSE
168601,"Seeds, pumpkin and squash seeds, whole, roasted, with salt added",446,53.75,18.55,19.4,10.75,TRUE
168602,"Nuts, almonds, oil roasted, lightly salted",607,17.68,21.23,55.17,4.55,FALSE
168603,"Nuts, almond butter, plain, with salt added",2568,18.82,20.96,55.5,6.27,FALSE
168604,"Seeds, sesame butter, tahini, type of kernels unspecified",592,21.5,17.4,53.01,8.6,TRUE
168605,"Beef, retail cuts, separable fat, raw",674,0,8.21,70.89,0,FALSE
168606,"Beef, retail cuts, separable fat, cooked",2845,0,10.65,70.33,0,FALSE
168607,"Beef, brisket, whole, separable lean only, all grades, raw",157,0.6,20.72,7.37,0.6,TRUE
168608,"Beef, grass-fed, ground, raw",828,0,19.42,12.73,0,FALSE
168609,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",625,0,21.72,6.29,0,FALSE
168610,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",237,0,28.02,13,0,FALSE
168611,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",811,0,27.82,8.32,0,FALSE
168612,"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",1146,0,17.51,22.07,0,FALSE
168613,"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",471,0,21.57,41.98,0,FALSE
168614,"Beef, rib, shortribs, separable lean only, choice, raw",175,0.4,19.05,10.19,0.4,TRUE
168615,"Beef, rib, shortribs, separable lean only, choice, cooked, braised",1234,0,30.76,18.13,0,FALSE
168616,"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",191,0,29.21,7.31,0,FALSE
168617,"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, select, cooked, broiled",720,0,29.25,5.22,0,FALSE
168618,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",221,0,27.65,11.36,0,FALSE
168619,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, raw",160,0,22.1,7.27,0,FALSE
168620,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",908,0,27.48,11.05,0,FALSE
168621,"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",625,0,21.17,6.57,0,FALSE
168622,"Beef, variety meats and by-products, brain, raw",143,1.05,10.86,10.3,1.05,TRUE
168623,"Beef, variety meats and by-products, brain, cooked, pan-fried",820,0,12.57,15.83,0,FALSE
168624,"Beef, variety meats and by-products, brain, cooked, simmered",630,1.48,11.67,10.53,1.48,TRUE
168625,"Beef, variety meats and by-products, heart, raw",467,0.14,17.72,3.94,0.14,TRUE
168626,"Beef, variety meats and by-products, liver, cooked, braised",191,5.13,29.08,5.26,3.85,TRUE
168627,"Beef, variety meats and by-products, liver, cooked, pan-fried",734,5.16,26.52,4.68,3.87,TRUE
168628,"Beef, variety meats and by-products, lungs, raw",92,0,16.2,2.5,0,FALSE
168629,"Beef, variety meats and by-products, lungs, cooked, braised",502,0,20.4,3.7,0,FALSE
168630,"Beef, variety meats and by-products, mechanically separated beef, raw",276,0,14.97,23.52,0,FALSE
168631,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",865,0,29.16,9.12,0,FALSE
168632,"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",845,0,29.53,8.41,0,FALSE
168633,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",862,0,29.65,8.8,0,FALSE
168634,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",183,0,30.55,5.79,0,FALSE
168635,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",188,0,30.29,6.55,0,FALSE
168636,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",177,0,30.8,5.03,0,FALSE
168637,"Beef, short loin, porterhouse steak, separable lean only,  trimmed to 1/8"" fat, all grades, cooked, grilled",893,0,28.16,10.32,0,FALSE
168638,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",888,0,26.07,11.18,0,FALSE
168639,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",224,0,25.51,12.8,0,FALSE
168640,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",608,0,22.61,5.41,0,FALSE
168641,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",203,0,28.92,8.76,0,FALSE
168642,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, raw",642,0,22.22,6.5,0,FALSE
168643,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",212,0,27.86,10.37,0,FALSE
168644,"Beef, short loin, t-bone steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",198,0,25.98,9.61,0,FALSE
168645,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, select, raw",602,0,22.41,5.34,0,FALSE
168646,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, raw",652,0,20.16,7.73,0,FALSE
168647,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, raw",609,0,20.8,6.28,0,FALSE
168648,"Beef, rib, eye, small end (ribs 10- 12) separable lean only, trimmed to 0"" fat, select, cooked, broiled",763,0,29.93,6.05,0,FALSE
168649,"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",680,0,30.09,3.77,0,FALSE
168650,"Beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled",995,0,22.86,15.54,0,FALSE
168651,"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled",1158,0,25.38,18.66,0,FALSE
168652,"Beef, ground, 70% lean meat / 30% fat, raw",1389,0,14.35,30,0,FALSE
168653,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, raw",157,0.21,19.71,8.54,0.21,TRUE
168654,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",196,0,28.15,9.23,0,FALSE
168655,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",557,0,20.39,5.73,0,FALSE
168656,"Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",552,0,21.47,5.11,0,FALSE
168657,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",573,0,21.28,5.75,0,FALSE
168658,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",520,0,21.74,4.14,0,FALSE
168659,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",922,0,27.51,12.26,0,FALSE
168660,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",753,0,19.18,11.48,0,FALSE
168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",773,0,19.14,12.02,0,FALSE
168662,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, raw",724,0,19.25,10.67,0,FALSE
168663,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",245,0,26.06,15.09,0,FALSE
168664,"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",253,0.56,18.42,19.06,0.56,TRUE
168665,"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",1385,0,25.85,24.5,0,FALSE
168666,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",277,0,17.94,22.18,0,FALSE
168667,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",1263,0,30.12,19.22,0,FALSE
168668,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",249,0,19.14,18.57,0,FALSE
168669,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",309,0,30.2,19.93,0,FALSE
168670,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",239,0,19.33,17.39,0,FALSE
168671,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",1502,0,26.37,27.26,0,FALSE
168672,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",230,0,17.37,17.33,0,FALSE
168673,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",318,0,27.33,22.35,0,FALSE
168674,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",765,0,26.65,8.46,0,FALSE
168675,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",1347,0,16.34,27.93,0,FALSE
168676,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",1473,0,22.26,28.5,0,FALSE
168677,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",1527,0,22.6,29.79,0,FALSE
168678,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",288,0,16.75,23.95,0,FALSE
168679,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",1674,0,22.57,33.7,0,FALSE
168680,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",1322,0,16.26,27.29,0,FALSE
168681,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",1414,0,21.55,27.22,0,FALSE
168682,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",1485,0,23.01,28.51,0,FALSE
168683,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",324,0,21.55,25.71,0,FALSE
168684,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",333,0,23.4,25.84,0,FALSE
168685,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw",1536,0,15.77,33.26,0,FALSE
168686,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",1690,0,20.65,34.97,0,FALSE
168687,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",1644,0,22.86,32.74,0,FALSE
168688,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",1272,0,24.53,22.09,0,FALSE
168689,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",359,0,22.28,29.21,0,FALSE
168690,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",246,0,19.56,18,0,FALSE
168691,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",1165,0,27.17,18,0,FALSE
168692,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",813,0,27.7,9.29,0,FALSE
168693,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",146,0,20.16,7.25,0,FALSE
168694,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",195,0,20.56,11.92,0,FALSE
168695,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",235,0,27.54,12.98,0,FALSE
168696,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",911,0,26.41,11.64,0,FALSE
168697,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",829,0,20.71,12.15,0,FALSE
168698,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",254,0,32.85,12.56,0,FALSE
168699,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",935,0,26.05,12.44,0,FALSE
168700,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",782,0,20.68,10.93,0,FALSE
168701,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",724,0,21.68,8.91,0,FALSE
168702,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",212,0,28.48,10.05,0,FALSE
168703,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",668,0.08,21.3,7.57,0.08,TRUE
168704,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",204,0,28.13,9.26,0,FALSE
168705,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw",745,0,19.74,10.39,0,FALSE
168706,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",879,0,27.63,10.24,0,FALSE
168707,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",635,0,20.07,7.94,0,FALSE
168708,"Beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, cooked, pan-fried",228,2.03,33.93,8.33,1.52,TRUE
168709,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",1046,0,34.09,11.61,0,FALSE
168710,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",936,0,30.7,10.27,0,FALSE
